阿勒泰	AAT
兴义	ACX
百色	AEB
惠州	AHE
安康	AKA
阿克苏	AKU
鞍山	AOG
安庆	AQG
安顺	AVA
阿拉善左旗	AXF
包头	BAV
毕节	BFJ
蚌埠	BFU
北海	BHY
北京	BJS
博乐	BPL
昌都	BPX
保山	BSD
广州	CAN
常德	CGD
郑州	CGO
长春	CGQ
朝阳	CHG
酒泉	CHW
赤峰	CIF
长治	CIH
重庆	CKG
长海	CNI
长沙	CSX
成都	CTU
常州	CZX
大同	DAT
达州	DAX
稻城	DCY
丹东	DDG
迪庆	DIG
大连	DLC
大理	DLU
敦煌	DNH
东营	DOY
大庆	DQA
鄂尔多斯	DSN
张家界	DYG
额济纳旗	EJN
恩施	ENH
延安	ENY
二连浩特	ERL
福州	FOC
阜阳	FUG
佛山	FUO
富蕴	FYN
广汉	GHN
格尔木	GOQ
广元	GYS
固原	GYU
海口	HAK
邯郸	HDG
黑河	HEK
呼和浩特	HET
合肥	HFE
杭州	HGH
淮安	HIA
怀化	HJJ
海拉尔	HLD
乌兰浩特	HLH
哈密	HMI
衡阳	HNY
哈尔滨	HRB
舟山	HSN
和田	HTN
台州	HYN
汉中	HZG
黎平	HZH
银川	INC
且末	IQM
庆阳	IQN
景德镇	JDZ
加格达奇	JGD
嘉峪关	JGN
井冈山	JGS
西双版纳	JHG
金昌	JIC
吉林	JIL
黔江	JIQ
九江	JIU
晋江	JJN
佳木斯	JMU
济宁	JNG
锦州	JNZ
池州	JUH
衢州	JUZ
鸡西	JXA
九寨沟	JZH
凯里	KAL
库车	KCA
康定	KGT
喀什	KHG
南昌	KHN
喀纳斯	KJI
昆明	KMG
吉安	KNC
赣州	KOW
库尔勒	KRL
克拉玛依	KRY
贵阳	KWE
桂林	KWL
连城	LCX
伊春	LDS
兰州	LHW
丽江	LJG
荔波	LLB
永州	LLF
吕梁	LLV
临沧	LNJ
芒市	LUM
拉萨	LXA
洛阳	LYA
连云港	LYG
临沂	LYI
柳州	LZH
泸州	LZO
林芝	LZY
牡丹江	MDG
绵阳	MIG
梅州	MXZ
南充	NAO
长白山	NBS
齐齐哈尔	NDG
宁波	NGB
阿里	NGQ
南京	NKG
那拉提	NLT
南宁	NNG
南阳	NNY
南通	NTG
满洲里	NZH
漠河	OHE
攀枝花	PZI
阿拉善右旗	RHT
日喀则	RKZ
巴彦淖尔	RLK
上海	SHA
沈阳	SHE
韶关	SHG
秦皇岛	SHP
荆州	SHS
西安	SIA
石家庄	SJW
揭阳	SWA
鄯善	SXJ
思茅	SYM
三亚	SYX
苏州	SZV
深圳	SZX
青岛	TAO
塔城	TCG
腾冲	TCZ
铜仁	TEN
通辽	TGO
天水	THQ
吐鲁番	TLQ
济南	TNA
通化	TNH
天津	TSN
唐山	TVS
黄山	TXN
太原	TYN
乌鲁木齐	URC
榆林	UYN
潍坊	WEF
威海	WEH
文山	WNH
温州	WNZ
乌海	WUA
武汉	WUH
武夷山	WUS
无锡	WUX
梧州	WUZ
万州	WXN
襄阳	XFN
西昌	XIC
锡林浩特	XIL
厦门	XMN
西宁	XNN
邢台	XNT
徐州	XUZ
宜宾	YBP
运城	YCU
宜春	YIC
阿尔山	YIE
宜昌	YIH
伊宁	YIN
义乌	YIW
延吉	YNJ
烟台	YNT
盐城	YNZ
扬州	YTY
玉树	YUS
张掖	YZY
昭通	ZAT
湛江	ZHA
中卫	ZHY
张家口	ZQZ
珠海	ZUH
遵义	ZYI
上海浦东	SHA,PVG
上海虹桥	SHA,SHA
北京南苑	BJS,NAY
北京首都	BJS,PEK
梅县	MXZ
河池	HCJ
阿坝	AHJ
左旗巴彦浩特	AXF
龙岩	LCX
抚远	FYJ
普洱	SYM
六盘水	LPF
夏河	GXH
神农架	HPG
额济纳旗桃来	EJN
德令哈	HXD
